Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
BHARTIARTL,EQ,1992.1,2.73,1243078.51,122.83,2441.37
LGEINDIA,EQ,1736.1,10,117841.67,98.32,1664.76
HDFCBANK,EQ,727,0.28,1120262.78,203.64,1480.39
MANORAMA,EQ,1742,7.92,10995.92,72.98,1297.58
WELSPUNLIV,EQ,164.1,2.67,15503.39,735.43,1261.56
BDL,EQ,1398,1.64,51245.44,84.58,1170.47
ZEEL,EQ,102,5.43,9797.3,1112.49,1138.08
ADANIENSOL,EQ,1616,2.08,197629.44,70.48,1129.05
APOLLOHOSP,EQ,8920.5,3.85,128263.1,12.76,1127.45
HONASA,EQ,502,4.7,16366.42,224.25,1114.8
IDEA,EQ,14.11,4.44,152872.02,7789.09,1088.91
ETERNAL,EQ,318.5,0.16,307363.67,301.47,967.22
TECHNOCRAF,EQ,310.61,9.37,1230.21,286.79,879.71
ICICIBANK,EQ,1417,0.73,1016843.09,60.98,859.72
HAL,EQ,5029.9,1.92,336387.14,15.37,767.03
MOTISONS,EQ,16.72,14.36,1901.91,4104.41,668.2
MARKSANS,EQ,335.85,10.7,15219.5,202.43,658.62
JUBLFOOD,EQ,504.1,2.55,33262.8,128.94,657.37
LICI,EQ,413.5,0.33,523077.31,149.94,619.13
MFSL,EQ,1538.1,1.7,53082.1,39.68,612.9
AMBER,EQ,7222,0.66,25470.38,7.5,541.94
ADANIENT,EQ,3035.1,2.37,410779.42,16.67,502.24
LENSKART,EQ,612,2.53,106409.7,82.04,500.69
RATNAVEER,EQ,229,4.09,1635.67,215.38,484.13
BHEL,EQ,421.7,0.4,146838.61,113.63,482.52
SAIL,EQ,169.51,0.49,70016.53,280.4,464.67
SILVERBEES,EQ,221.5,0.24,31644.56,203.54,447.05
PAGEIND,EQ,36750,0.63,40990.49,1.19,444.51
BALUFORGE,EQ,496,11.15,6021.04,89.81,443.03
POWERINDIA,EQ,35700,0.96,159123.34,1.14,406.65
SUDARSCHEM,EQ,1120,6.38,8916.05,38.06,405.87
APEX,EQ,425,15.58,1328.13,93.16,401.92
PARAS,EQ,1372,2.22,11056.58,28.27,390.79
ELGIEQUIP,EQ,609,5.63,19299.76,60.1,365.39
MINDACORP,EQ,720,1.23,17213.72,47.47,354.38
PERSISTENT,EQ,5580,1.03,88024.5,6.34,351.75
TARSONS,EQ,371.1,18.68,1974.49,98.31,345.96
GVT&D,EQ,4350,1.05,111380.24,7.86,340.13
ADANIPORTS,EQ,1700,2.53,391673.05,19.78,333.4
MOREPENLAB,EQ,84.12,3.99,4609.39,401.58,331.46
UNIONBANK,EQ,187.38,0.47,143038.5,171.39,321.48
TVSSRICHAK,EQ,4464,11.74,3418.11,7.11,320.11
VOLTAS,EQ,1320.5,2.4,43693.33,23.74,313.85
BEL,EQ,410.8,0.07,300285.71,73.88,303.15
OFSS,EQ,11828,3.57,102992.91,2.59,301.35
DIXON,EQ,14130,0.68,86393.83,2.06,291.11
MUNJALAU,EQ,120.7,1.11,1207,240.17,290.78
MAZDOCK,EQ,2580,0.35,104072.04,11.01,284.64
BAJAJ-AUTO,EQ,11700,0.33,321520.49,2.41,283.03
INDIGOPNTS,EQ,1142.8,1.1,5454.89,24.06,282.27
