"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"OSWALSEEDS","10.13","11.79","1.66","16.39","11.79","31,427","0.04","-","20.28","9.66"
"APEX","367.70","425.10","57.40","15.61","425.10","19,291","0.82","-","514.50","208.74"
"GALAXYSURF","2,090.40","2,412.50","322.10","15.41","2,412.50","8,465","2.04","-","2,456.90","1,510.00"
"ARIHANTACA","480.00","550.00","70.00","14.58","550.00","400","0.02","-","555.00","340.00"
"LPDC","7.56","8.62","1.06","14.02","8.62","98,223","0.08","-","9.46","5.23"
"KEEPLEARN","1.84","2.04","0.20","10.87","2.04","100","-","-","3.21","1.51"
"ESCONET","193.95","213.30","19.35","9.98","213.30","3,600","0.08","-","280.00","91.25"
"DJML","104.69","115.00","10.31","9.85","115.00","6,200","0.07","-","124.80","52.00"
"ZEEMEDIA","8.58","9.39","0.81","9.44","9.39","8,25,274","0.77","-","13.26","6.65"
"BI","64.01","69.94","5.93","9.26","69.94","11,126","0.08","-","75.00","51.62"
"NIBL","32.57","35.55","2.98","9.15","35.55","1","-","-","40.80","24.06"
"REGENCERAM","40.33","43.99","3.66","9.08","43.99","131","-","-","54.99","30.00"
"TIIL","2,887.60","3,145.00","257.40","8.91","3,145.00","7,921","2.49","-","3,020.00","1,868.50"
"BALAJITELE","92.52","100.50","7.98","8.63","100.50","41,284","0.41","-","141.32","69.52"
"DCMFINSERV","5.39","5.83","0.44","8.16","5.83","7","-","-","8.55","3.70"
"MERCANTILE","24.10","25.95","1.85","7.68","25.95","6","-","-","31.90","19.00"
"MHLXMIRU","188.56","202.40","13.84","7.34","202.40","10,005","0.20","-","244.65","105.53"
"INDIGOPNTS","1,130.40","1,211.30","80.90","7.16","1,211.30","4,024","0.49","-","1,345.90","708.05"
"MANORAMA","1,614.10","1,729.00","114.90","7.12","1,729.00","35,692","6.17","-","1,706.90","1,060.60"
"BONLON","40.99","43.90","2.91","7.10","43.90","2","-","-","57.00","34.51"
"FOSECOIND","5,537.50","5,900.00","362.50","6.55","5,900.00","926","0.55","-","6,846.00","4,300.00"
"SHANTI-RE","16.90","18.00","1.10","6.51","18.00","3,143","0.01","-","-","-"
"THEINVEST","96.20","102.45","6.25","6.50","102.45","1,111","0.01","-","164.80","89.00"
"WELSPUNLIV","159.83","170.00","10.17","6.36","170.00","1,23,545","2.10","-","174.97","107.10"
"DHARAN","0.16","0.17","0.01","6.25","0.17","2,04,961","-","-","0.61","0.11"
"TARMAT","64.68","68.50","3.82","5.91","68.50","1,59,760","1.09","-","73.90","46.26"
"UCAL","127.89","134.90","7.01","5.48","134.90","5,056","0.07","-","146.99","77.00"
"VIVIDHA","0.55","0.58","0.03","5.45","0.58","9,024","-","-","0.91","0.43"
"UGARSUGAR","46.49","48.99","2.50","5.38","48.99","17,435","0.09","-","48.85","33.75"
"KANANIIND","1.52","1.60","0.08","5.26","1.60","3,000","-","-","2.27","1.02"
"SHREERAMA","39.89","41.99","2.10","5.26","41.99","10,001","0.04","-","71.99","37.62"
"KRN","1,398.40","1,468.30","69.90","5.00","1,468.30","4,133","0.61","-","1,405.00","589.80"
"ARROWGREEN","782.50","821.60","39.10","5.00","821.60","9,262","0.76","-","814.90","341.95"
"SUNDRMBRAK","839.10","881.05","41.95","5.00","881.05","901","0.08","-","877.70","460.00"
"GSLSU","31.02","32.57","1.55","5.00","32.57","1,329","-","-","139.67","23.06"
"SANWARIA","0.20","0.21","0.01","5.00","0.21","3,867","-","-","0.39","0.19"
"SHALPAINTS","87.04","91.39","4.35","5.00","91.39","11,632","0.11","-","89.80","35.21"
"VENUSREM","1,729.30","1,815.70","86.40","5.00","1,815.70","5,022","0.91","-","2,044.30","424.00"
"OPTIVALUE","168.05","176.45","8.40","5.00","176.45","3,200","0.06","-","170.35","56.05"
"AKSHAR","0.40","0.42","0.02","5.00","0.42","154","-","-","0.76","0.36"
"TECHNVISN","5,403.30","5,673.40","270.10","5.00","5,673.40","155","0.09","-","6,198.00","3,222.80"
"SHARDUL","49.80","52.29","2.49","5.00","52.29","2,104","0.01","-","60.00","23.05"
"MODISONLTD","323.00","339.15","16.15","5.00","339.15","29,312","0.99","-","362.70","114.00"
"CALSOFT","23.43","24.60","1.17","4.99","24.60","23,753","0.06","-","27.83","10.90"
"PLAZACABLE","53.70","56.38","2.68","4.99","56.38","8,812","0.05","-","65.00","27.00"
