Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
DHOOTTRANS,EQ,1194.65,-0.45,24436.33,262.95,3096.06
EMBASSY,RR,440.75,-2.62,41778.42,596.41,2596.82
BSE,EQ,3317,-3.77,135295.15,50.42,1669.4
MOLBIO,EQ,1005.5,2.6,11587.38,122.04,1199.3
LENSKART,EQ,608.85,-0.49,105862,188.14,1141.29
IPCALAB,EQ,1854.5,6.94,47049.45,51.87,970.59
PWL,EQ,124.43,6.24,36095.73,746.99,931.05
HINDCOPPER,EQ,565.7,6.93,54704.55,164.66,914.82
MANORAMA,EQ,1910.5,9.98,12059.53,43.48,813.39
BHARTIARTL,EQ,1985.7,-0.32,1239084.89,34.84,692.39
HAL,EQ,5086,1.12,340138.97,11.49,586.55
AZAD,EQ,2902.7,6.8,18746.14,19.5,564.66
NETWEB,EQ,5201,3.87,29614.85,10.66,549.75
RELIANCE,EQ,1302.3,-0.59,1762342.52,40.99,534.26
RUBICON,EQ,1768.5,9.23,29274.32,26.04,445.62
CUPID,EQ,290.6,-1.12,39075.84,144.25,415.78
PURVA,EQ,235.69,8.01,5589.38,167.1,401.25
KALYANKJIL,EQ,613.85,0.92,63394.76,62.64,384.84
AXISBANK,EQ,1219.2,0.15,379510.41,30.49,371.49
PTCIL,EQ,20100,5.51,30135.02,1.84,367.53
HDFCBANK,EQ,725.25,-0.24,1117566.13,50.48,366.32
ETERNAL,EQ,319.6,0.35,308425.21,111.35,355.01
VOLTAS,EQ,1270.7,-3.77,42045.52,26.98,348.63
M&M,EQ,3408.1,-0.59,423807.06,10.13,345.75
INFY,EQ,1143.6,-2.19,464079.35,29.07,333.03
VIKRAMSOLR,EQ,175.45,9.55,6357.51,187.16,324.19
MARKSANS,EQ,328.8,-1.26,14900.02,95.38,320.9
ICICIBANK,EQ,1416.1,-0.06,1016215.78,22.65,320.09
RATNAVEER,EQ,239.3,3.97,1709.24,132.65,316.05
BDL,EQ,1387.7,-0.74,50867.88,22.4,313.24
ONGC,EQ,237.44,0.44,298706.15,125.85,298.98
AMBER,EQ,7288,0.91,25703.15,4.05,296.42
BHEL,EQ,426.4,1.11,148475.18,67.57,289.49
TDPOWERSYS,EQ,1564.1,5.35,24435.69,18.45,282.88
LEAPIND,EQ,157.04,8.36,6918.18,179.57,277.61
LGEINDIA,EQ,1676.2,-3.09,113775.83,15.83,269.93
TCS,EQ,2327,-1.44,841928.97,11.31,263.19
EXPLEOSOL,EQ,918.95,12.62,1426.19,27.29,251.84
MOTILALOFS,EQ,944.55,4.52,56875.77,26.94,250.33
IDEA,EQ,13.86,-1.77,150163.45,1764.69,245.82
NATIONALUM,EQ,388.95,3.44,71435.79,62.71,241.26
MOREPENLAB,EQ,88.12,4.67,4828.57,260.47,225.51
SILVERBEES,EQ,224.33,1.41,32128.85,100.68,225.45
SBIN,EQ,1056.1,-1.09,974845.52,21.35,225.38
ATHERENERG,EQ,1504.5,-0.46,59351.5,14.77,222.65
ASHOKLEY,EQ,174.35,1.58,102410.65,126.49,220.79
BELRISE,EQ,238.01,-6.79,23019.18,90.28,216.84
ADANIENSOL,EQ,1593.5,-1.39,194877.79,13.28,213.96
UFLEX,EQ,586.05,19.99,4231.95,37,212.21
TFCILTD,EQ,126.13,7.4,5839.53,171.04,211.29
LAURUSLABS,EQ,1793.2,0.33,96877.56,11.65,209.64
SOLARINDS,EQ,20024,0.28,181197.29,1.01,204.25
FINCABLES,EQ,1315.55,5.51,20119.94,15.61,202.83
SCHNEIDER,EQ,1215.5,-11.23,29063.1,16.64,202.3
COCHINSHIP,EQ,1471.4,-1.68,38709.71,13.6,200.26
BALUFORGE,EQ,517.2,4.75,6278.39,37.79,197.25
EICHERMOT,EQ,8080,0.17,221813.54,2.43,196.74
ZAGGLE,EQ,160.48,-20,2157.79,116.06,189.76
KWIL,EQ,39.11,8.67,9189.25,496.72,187.21
MCX,EQ,2955,1.49,75350.09,6.36,186.44
JIOFIN,EQ,247.85,-0.48,163658.87,73.46,181.2
BEL,EQ,411.55,0.18,300833.95,43.82,180.6
ZEEL,EQ,101.47,-0.79,9746.39,174.65,180.08
ITC,EQ,273.45,-1.71,342688.17,63.14,173.56
HINDZINC,EQ,572,1.8,241688.25,29.57,168.93
MOTISONS,EQ,16.62,-0.78,1890.54,995.4,167.43
TMPV,EQ,332.7,-0.54,122538.05,50.07,165.76
KAYNES,EQ,3691,0.84,24742.49,4.42,163.15
CPPLUS,EQ,3343.1,-5,39549.02,4.71,158.34
LT,EQ,4056,-0.02,558051.28,3.91,157.98
PATANJALI,EQ,352.45,0.13,38350.39,44.1,156
OBEROIRLTY,EQ,1940,5.09,70538.83,8.16,155.14
SUZLON,EQ,48.42,2.8,66556.13,324.87,155.03
NMDC,EQ,81.62,-3.29,71758.81,187.4,153.37
BHARATFORG,EQ,2083.5,0.9,99595.19,7.25,150.91
DRREDDY,EQ,1191.8,-0.68,99474.15,12.64,150.47
GOLDBEES,EQ,126.49,1.09,57738.08,118.71,150.07
CUMMINSIND,EQ,5440,0.74,150796.8,2.76,149.87
GROWW,EQ,197.9,0.88,124154.48,75.81,149.84
TVSMOTOR,EQ,4377.6,1.64,207974.14,3.35,146.45
APARINDS,EQ,16524,-1,69189.85,0.87,145.68
ADANIPORTS,EQ,1679.9,-1.18,387042.09,8.54,144.15
APOLLOHOSP,EQ,8895.5,-0.28,127903.64,1.61,143.27
VISL,EQ,38.6,4.69,15094.1,368.59,140.32
GALAXYSURF,EQ,2470.9,-1.49,8760.51,5.55,138.67
KMEW,EQ,2817,3.16,6929.82,4.82,137.85
SHRIRAMFIN,EQ,1125.5,0.31,264824.35,12.02,135.02
ADANIENT,EQ,3008,-0.89,407111.62,4.44,134.3
POLYCAB,EQ,9365,1.35,141085.58,1.42,132.7
AVALON,EQ,2046.8,5.46,13675.03,6.5,131.71
KERNEX,EQ,1859.5,-8.14,3124.63,6.81,130.94
DIXON,EQ,14132,0.01,86406.06,0.92,129.92
NEULANDLAB,EQ,23780,1.97,30509.48,0.54,128.19
PAYTM,EQ,1605.3,0.14,102921.1,7.94,127.6
ZYDUSLIFE,EQ,1147.5,1.08,114463.56,11.14,127.23
SONACOMS,EQ,810.85,2.38,50560.78,15.72,126.89
HINDALCO,EQ,1040.8,1.1,233891.34,12.1,125.68
TRENT,EQ,2963.9,-0.47,158044.72,4.21,124.72
THERMAX,EQ,4155,2.72,49509.44,2.95,123.43
SUNPHARMA,EQ,1906.6,-1.21,457446.43,6.41,122.57
PFC,EQ,373.75,-0.6,123341.3,32.47,121.51
UNIONBANK,EQ,187.35,-0.02,143015.6,65.15,120.89
ADANIPOWER,EQ,202.4,-1.39,390322.22,59.06,120.2
PAGEIND,EQ,37530,2.12,41860.49,0.32,120.05
WELSPUNLIV,EQ,168.67,2.81,15935.14,70.49,118.45
KEI,EQ,5857.3,2.76,55996.14,2.03,118.39
DATAPATTNS,EQ,4508.2,1.18,25238.69,2.61,117.92
HFCL,EQ,222.82,-0.13,34104.88,52.55,117.2
BAJFINANCE,EQ,1094.4,0.68,681331.23,10.67,115.87
BAJAJ-AUTO,EQ,11753,0.45,322976.95,0.98,115.56
AUROPHARMA,EQ,1623,0.06,93383.83,7.03,115.36
TMCV,EQ,468.2,-1.29,172424.03,24.27,114.39
SHANTIGOLD,EQ,264.18,6.67,1904.63,43.17,112.9
TATASTEEL,EQ,183.98,0.26,229671.93,61.6,112.73
BAJAJHLDNG,EQ,11565,0.78,128710.94,0.98,112.08
NTPC,EQ,336.3,-1.09,326098.88,32.87,110.97
KRN,EQ,1541.7,5,10091.73,7.26,110.62
CHENNPETRO,EQ,1353.4,2.38,20153.67,8.18,109.94
OLAELEC,EQ,39.48,1.94,18272.96,279.54,109.66
HEROMOTOCO,EQ,5779.5,-0.18,115671.61,1.89,109.01
POWERGRID,EQ,266.85,0.3,248186.61,40.4,107.67
CEMPRO,EQ,1354.8,4.31,23273.78,7.9,107.18
IFCI,EQ,78.4,1.9,21123.42,137.83,106.93
RECLTD,EQ,336.2,0.36,88528.99,31.77,106.62
CORDELIA,EQ,827.9,-1.19,5993.54,12.87,106.4
PERSISTENT,EQ,5595,0.27,88261.13,1.91,106.17
MAXHEALTH,EQ,999,-0.95,97230.02,10.51,106
INDOMIM,EQ,859.35,1.18,42493.22,12.39,105.89
COFORGE,EQ,1811,-0.06,80163.69,5.84,105.69
MAZDOCK,EQ,2571,-0.35,103709,4.05,104.9
POWERINDIA,EQ,35450,-0.7,158009.03,0.29,104.28
UNOMINDA,EQ,1264,1.94,72991.7,8.1,101.47
LASERPOWER,EQ,306.25,1.11,4298.78,32.54,100.68
LICI,EQ,414.55,0.25,524405.56,24.29,100.28
DIVISLAB,EQ,8484,0.08,225223.54,1.17,99.86
VAML,EQ,447.45,0.82,174970.31,22.24,99.2
HDFCLIFE,EQ,543.15,1.36,117997.98,18.27,98.91
VOGL,EQ,37.99,2.29,14855.56,261.85,98.33
TITAN,EQ,5107.1,1.01,453401.27,1.93,97.94
MUTHOOTFIN,EQ,2875.7,1.19,115450.29,3.34,95.77
BIOCON,EQ,410.6,-1.53,66915.24,23.13,95.18
SYRMA,EQ,1462.8,-0.16,28207.24,6.31,93.61
